date,account_nav,spy_close,note
2026-07-06,1277324.57,751.28,inception - 6 fills per dashboard (44.5% invested / 55.5% SGOV)
2026-07-31,1280882.00,747.03,"month 1 - no trend flips; TLT/IEF/GLD still CASH. SPY closes are dividend-adjusted (Yahoo) for both rows so the benchmark is one consistent source."
